application_number,filing_date,application_invention_type,examiner_full_name,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,atty_docket_number,appl_status_desc,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,invention_title,small_entity_indicator,aia_first_to_file
05552403,,Utility,"GERSTL, ROBERT",1202,260,468000,6479,,Patented Case,1984-05-29,FILE REPOSITORY (FRANCONIA),1994-10-04,,,,,4057571,1977-11-08,,UNDISCOUNTED,
05566714,,Utility,"CUCHLINSKI JR, WILLIAM A",3661,XXX,XXXXXX,8473,,Patented Case,1983-03-01,FILE REPOSITORY (FRANCONIA),1992-11-19,,,,,,,,UNDISCOUNTED,
05579012,,Utility,"CLARKE, VERA",1206,132,007000,1252,,Patented File - (Old Case Added for File Tracking Purposes),1981-03-23,FILE REPOSITORY (FRANCONIA),1995-03-02,,,,,,,,UNDISCOUNTED,
05596904,,Utility,"ROLLA, JR., JOSEPH J",3101,XXX,XXXXXX,3982,,Patented Case,1984-03-16,FILE REPOSITORY (FRANCONIA),1992-05-26,,,,,3991605,1976-11-16,METHOD AND APPARATUS FOR TESTING THE WRAPPERS OF CIGARETTES AND THE LI KE,UNDISCOUNTED,
05616654,,Utility,"WILLIAMS JR, ARCHIE E",2302,999,999999,7018,,Patented File - (Old Case Added for File Tracking Purposes),1981-05-27,FILE REPOSITORY (FRANCONIA),1994-08-31,,,,,4042794,1977-08-16,,UNDISCOUNTED,
05615587,,Utility,"ROSENTHAL, ARNOLD",3407,251,046000,6863,,Patented File - (Old Case Added for File Tracking Purposes),1983-07-07,FILE REPOSITORY (FRANCONIA),2016-08-29,,,,,,,,UNDISCOUNTED,
05623963,,Utility,"NOT, DEFINED",1101,075,128000,8152,,Patented File - (Old Case Added for File Tracking Purposes),1980-07-31,FILE REPOSITORY (FRANCONIA),1992-05-26,,,,,3989474,1976-11-02,AUSTENITIC STAINLESS STEEL,UNDISCOUNTED,
05629594,,Utility,"NOT, DEFINED",2605,073,999999,9087,,Patented File - (Old Case Added for File Tracking Purposes),1983-01-11,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,,,,UNDISCOUNTED,
05652207,,Design,"WORD, ARTHUR H",2904,999,079000,3781,,Patented File - (Old Case Added for File Tracking Purposes),1988-04-13,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,D246861,1978-01-03,DESIGN FOR COMBINED TRIM STRIP AND REMOVABLE PAPER BACKING THEREFOR,UNDISCOUNTED,
05654226,,Utility,"THURLOW, JEFFERY",1307,264,029000,4111,,Patented File - (Old Case Added for File Tracking Purposes),1981-07-15,FILE REPOSITORY (FRANCONIA),1994-10-18,,,,,,,,UNDISCOUNTED,
05655259,,Utility,"BUCZINSKI, STEPHEN C",2202,356,028000,4308,,Abandoned -- Failure to Respond to an Office Action,1992-08-21,FILE REPOSITORY (FRANCONIA),2003-08-18,,,,,,,,UNDISCOUNTED,
05663365,,Utility,"GORGOS, KATHRYN L",1741,252,531000,5770,,Patented Case,1985-10-15,FILE REPOSITORY (FRANCONIA),1994-08-16,,,,,,,,UNDISCOUNTED,
05664464,,Utility,"CHURCH, CRAIG E",2506,250,341000,5966,,Patented File - (Old Case Added for File Tracking Purposes),1981-01-22,FILE REPOSITORY (FRANCONIA),1994-10-18,,,,,,,OPTICAL GAS ANALYZER,UNDISCOUNTED,
05668518,,Utility,"NOT, DEFINED",2506,250,360000,6644,,Patented File - (Old Case Added for File Tracking Purposes),1980-10-23,FILE REPOSITORY (FRANCONIA),1994-07-29,,,,,,,,UNDISCOUNTED,
05677851,,Utility,"LARKINS, WILLIAM",2503,999,074000,8332,,Patented File - (Old Case Added for File Tracking Purposes),1982-11-17,FILE REPOSITORY (FRANCONIA),2008-01-09,,,,,4047197,1977-09-06,HOUSING AND LEAD STRUCTURE FOR ASERIES CONNECTED SEMICONDUCTOR RECTIFI ER ARRANGEMENT,UNDISCOUNTED,
05692537,,Utility,"JAMES, ANDREW",2503,331,094100,2048,,Patented File - (Old Case Added for File Tracking Purposes),1989-08-23,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,,,,UNDISCOUNTED,
05695791,,Utility,"HELLER, GREGORY",1103,423,300000,2677,,ABANDONED - RESTORED,1987-06-02,FILE REPOSITORY (FRANCONIA),2003-08-18,,,,,,,,UNDISCOUNTED,
05700941,,Utility,"WITKOWSKI, STANLEY J",2837,084,999999,3651,,Abandoned -- File-Wrapper-Continuation Parent Application,1989-10-13,FILE REPOSITORY (FRANCONIA),2003-08-18,,,,,,,,UNDISCOUNTED,
05706061,,Utility,"RIDGILL JR, JAMES",3504,052,473000,4616,,Patented File - (Old Case Added for File Tracking Purposes),1980-08-06,FILE REPOSITORY (FRANCONIA),1993-11-24,,,,,4023320,1977-05-17,ORNAMENTAL PLASTIC SHUTTER,UNDISCOUNTED,
05711980,,Utility,"QAZI, SABIHA NAIM",1616,260,999999,5750,,Patented Case,1987-08-31,FILE REPOSITORY (FRANCONIA),1994-10-18,,,,,,,,UNDISCOUNTED,
05714084,,Utility,"WITKOWSKI, STANLEY J",2105,084,084000,6169,,Patented Case,1985-04-20,FILE REPOSITORY (FRANCONIA),1995-02-09,,,,,,,,UNDISCOUNTED,
05715855,,Utility,"NOT, DEFINED",1305,023,230000,6539,,Patented Case,1982-03-10,FILE REPOSITORY (FRANCONIA),2007-12-07,,,,,,,,UNDISCOUNTED,
05728017,,Utility,"NOT, DEFINED",1102,204,098000,8987,,Patented Case,1984-08-28,FILE REPOSITORY (FRANCONIA),2008-01-17,,,,,,,,UNDISCOUNTED,
05731488,,Utility,"LONE, WERREN",1206,260,603000,9718,,Patented Case,1978-07-04,FILE REPOSITORY (FRANCONIA),1995-01-25,,,,,4098826,1978-07-04,,UNDISCOUNTED,
05739884,,Utility,"HOFFMANN, JOHN M",1731,065,027000,2455,,Patented Case,1985-06-14,FILE REPOSITORY (FRANCONIA),2008-01-10,,,,,,,,UNDISCOUNTED,
05741508,,Utility,"GORGOS, KATHRYN L",1741,260,533000,2821,,Patented Case,1985-10-15,FILE REPOSITORY (FRANCONIA),2018-11-15,,,,,,,,UNDISCOUNTED,
05744207,,Utility,"SCOTT, JAMES R",2832,200,00500A,3434,,Patented File - (Old Case Added for File Tracking Purposes),1983-01-18,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,,,,UNDISCOUNTED,
05750149,,Utility,"DERRINGTON, JAMES H",1731,264,022000,4756,,ABANDONED - RESTORED,1989-12-05,FILE REPOSITORY (FRANCONIA),2006-03-27,,,,,,,,UNDISCOUNTED,
05758638,,Utility,"BROWN, THEATRICE",3304,273,025000,6754,,ABANDONED - RESTORED,1988-03-31,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
05774393,,Utility,"NOT, DEFINED",2304,235,999999,1298,,Patented Case,1983-03-01,FILE REPOSITORY (FRANCONIA),2016-09-01,,,,,4071745,1978-01-31,PROGRAMMABLE TIME VARYING CONTROL SYSTEM AND METHOD,UNDISCOUNTED,
05782992,,Utility,"SHOAP, ALLAN N",3727,200,061000,3372,,Patented File - (Old Case Added for File Tracking Purposes),1991-06-19,FILE REPOSITORY (FRANCONIA),1995-02-09,,,,,,,,UNDISCOUNTED,
05799205,,Utility,"NOT, DEFINED",3201,083,054000,7366,,Patented File - (Old Case Added for File Tracking Purposes),1982-10-29,FILE REPOSITORY (FRANCONIA),2008-01-09,,,,,,,,UNDISCOUNTED,
05815609,,Design,"BURKE, WALLACE",2901,D08,008000,2622,,Patented File - (Old Case Added for File Tracking Purposes),1990-09-10,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,D255640,1980-07-01,,UNDISCOUNTED,
05862292,,Design,"WORD, ARTHUR H",2901,999,075000,7483,,Patented File - (Old Case Added for File Tracking Purposes),1988-04-13,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,D251509,1979-04-03,DESIGN FOR TRIM STRIP ADAPTED TO BE SECURED TO AN AUTOMOBILE BUMPER OR BODY,UNDISCOUNTED,
05896356,,Utility,"LEWIS, MICHAEL L",1103,075,120000,1660,,Abandoned -- After Examiner's Answer or Board of Appeals Decision,1988-03-07,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
05951310,,Utility,"CARROLL, JAMES J",2811,257,023000,8556,,ABANDONED - RESTORED,1987-05-20,FILE REPOSITORY (FRANCONIA),2009-04-10,,,,,,,,UNDISCOUNTED,
06003447,,Utility,"BRIER, JEFFERY A",2672,340,724000,6433,,ABANDONED - RESTORED,1988-01-28,FILE REPOSITORY (FRANCONIA),2004-03-10,,,,,,,,UNDISCOUNTED,
06024369,,Utility,"DERRINGTON, JAMES H",1731,264,022000,4531,,ABANDONED - RESTORED,1989-12-05,FILE REPOSITORY (FRANCONIA),2006-03-27,,,,,,,,UNDISCOUNTED,
06026406,,Utility,"LAZARUS, IRA S",3749,165,134000,6170,31233,ABANDONED - RESTORED,1988-01-22,FILE REPOSITORY (FRANCONIA),2004-03-10,,,,,,,FILTER-CONDITIONER FOR MOTOR COOLING LIQUID,UNDISCOUNTED,
06052223,,Utility,"GALLAGHER, JOHN J",1733,156,310000,9006,,Abandoned -- Failure to Respond to an Office Action,1988-03-21,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
06083320,,Utility,"ZIEGLER, JACOB",1512,525,095000,7665,,ABANDONED - RESTORED,1988-09-30,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
06123713,,Utility,"THALER, MICHAEL H",3731,128,344000,5802,,ABANDONED - RESTORED,1987-10-23,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
06300460,,Utility,"LOVE, JOHN JOSEPH",3103,239,070000,4317,IV,Abandoned -- Failure to Respond to an Office Action,1984-11-07,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
06490502,,Utility,"PARR, TED L",2201,042,016000,2942,S-7229,Abandoned -- Failure to Respond to an Office Action,1985-01-03,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,INACTIVATING SELECTOR ARRANGEMENT FOR BOLT ACTION FIREARMS,UNDISCOUNTED,
08030312,,Utility,"BOMBERG, KENNETH",3754,222,566000,9208,900.32072X00,Abandoned -- Failure to Respond to an Office Action,1995-05-24,FILE REPOSITORY (FRANCONIA),2018-06-23,,,,,,,DRIP-CATCHER,UNDISCOUNTED,
08330055,,Utility,"SAROFIM, NABIL F",1505,526,335000,2326,TH0010A(US),Abandoned -- File-Wrapper-Continuation Parent Application,1996-02-20,"OPAP- CONTRACTOR FORMALITIES, ST - 7A CORRIDOR",2003-10-14,,,,,,,PROTECTED FUNCTIONAL INITIATORS FOR MAKING TERMINALLY FUNCTIONALIZED POLYMERS.,UNDISCOUNTED,
08565074,,Utility,"CROUCH, DEBORAH",1632,800,013000,2890,95-28,Missassigned Application Number,2007-08-29,ELECTRONIC,,,,,,,,PROTEIN C PRODUCTION IN TRANSGENIC ANIMALS,UNDISCOUNTED,
06332032,,Utility,"NOT, DEFINED",3504,474,213000,9738,081103-MC,Expressly Abandoned -- During Examination,1984-06-22,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,POWER TRANSMISSION CHAIN,UNDISCOUNTED,
08762555,,Utility,"REDDICK, MARIE L",1713,524,845000,2205,,Abandoned -- Failure to Respond to an Office Action,2015-04-30,FILE REPOSITORY (FRANCONIA),2018-08-28,,,,,,,METHOD FOR MAKING A POLYVINYL ACETATE EMULSION OF HIGH SOLIDS CONTENT AND THE RESULTING EMULSION,UNDISCOUNTED,
09000434,,Utility,"MCKENZIE, THOMAS C",1624,514,183000,5283,505100-204,Abandoned -- Failure to Respond to an Office Action,2000-06-19,FILE REPOSITORY (FRANCONIA),2018-07-10,,,,,,,COMPOSITIONS AND METHODS TO PREVENT TOXICITY INDUCED BY NONSTEROIDAL ANTIINFLAMMATORY DRUGS,UNDISCOUNTED,
08715084,,Re-Issue,"LEE, RICHARD J",2613,375,240000,4209,450100-27041,Abandoned -- Failure to Respond to an Office Action,2003-10-18,FILE REPOSITORY (FRANCONIA),2004-09-03,,,,,,,APPARATUS AND METHODS FOR TRANSMITTING COMPRESSED DIGITAL IMAGE SIGNALS,UNDISCOUNTED,
09091738,,Utility,"MCGUTHRY BANKS, TIMA MICHELE",1742,075,010140,5279,P62185USO,Abandoned -- Failure to Respond to an Office Action,1999-12-17,FILE REPOSITORY (FRANCONIA),2018-08-07,,,,,,,METHOD FOR PRODUCING STEEL FROM IRON SPONGES IN AN INDUCTION FURNACE,UNDISCOUNTED,
08973560,,Utility,"MONDESI, ROBERT B",1653,435,069100,7051,,Abandoned -- Incomplete Application (Pre-examination),2006-11-14,ELECTRONIC,,,,,,,,P-53 binding protein called mdmx and encoding sequences for said protein,SMALL,
09117064,,Utility,"NOT, DEFINED",3725,241,000000,3263,245.144/00,Abandoned -- Incomplete Application (Pre-examination),2003-01-18,FILE REPOSITORY (FRANCONIA),2018-08-07,,,,,,,"PROCESSFOR ZEOLITE SYNTHESIS WITH MOGENEUOUS STIRRING OF THE MEDIUM, DEVICE AND APPLICATION",SMALL,
09068213,,Utility,"BRAHAN, THOMAS J",3652,414,498000,2084,DSB301A2,Abandoned -- Incomplete Application (Pre-examination),2005-05-05,FILE REPOSITORY (FRANCONIA),2018-07-10,,,,,,,DEVICE FOR LOADING AND CARRYING CARGO,UNDISCOUNTED,
