application_number,pta_sequence_number,pta_event_date,pta_event_desc,applicant_delay_duration,uspto_delay_duration,start_pta_sequence_number,term_extension_indicator
09601531,,2001-02-02,Preliminary Amendment,0,0,,1
09601531,,2001-02-02,Request for Foreign Priority (Priority Papers May Be Included),0,0,,1
09601531,,2002-04-30,Case Docketed to Examiner in GAU,0,0,,1
09601531,,2001-04-10,Application Dispatched from OIPE,0,0,,1
09601531,,2001-04-03,IFW Scan & PACR Auto Security Review,0,0,,1
09601531,,2001-03-07,Correspondence Address Change,0,0,,1
09601531,,2001-02-14,Released to OIPE,0,0,,1
09601531,,2001-02-14,Notice of DO/EO Acceptance Mailed,0,0,,1
09601531,,2001-02-02,Applicant 371 Filing Paper Received,0,0,,1
09601531,,2001-02-02,Initial Exam Team nn,0,0,,1
02618355,,2003-10-03,Mail Notice of Allowance,0,0,,1
02618355,,2003-10-01,Notice of Allowance Data Verification Completed,0,0,,1
02618355,,2003-10-01,Case Docketed to Examiner in GAU,0,0,,1
02618355,,2003-09-30,Case Docketed to Examiner in GAU,0,0,,1
02618355,,2003-09-30,Case Docketed to Examiner in GAU,0,0,,1
02618355,,2003-09-30,Dispatch from OIPE to Corps - U-P-R-D Application,0,0,,1
02618355,,2003-09-30,Initial Exam Team nn,0,0,,1
02618355,,2003-09-30,Application Return from OIPE,0,0,,1
02618355,,2003-09-30,Application Is Now Complete,0,0,,1
02618355,,2003-09-30,Application Return TO OIPE,0,0,,1
02618355,,2003-09-22,Case Docketed to Examiner in GAU,0,0,,1
02618355,,2003-09-12,Secrecy Order Rescinded,0,0,,1
02618355,,2002-12-30,Secrecy Order Renewed,0,0,,1
02618355,,2001-12-18,Secrecy Order Renewed,0,0,,1
02618355,,2000-12-08,Secrecy Order Renewed,0,0,,1
02618355,,1999-12-28,Secrecy Order Renewed,0,0,,1
02618355,,1998-12-03,Secrecy Order Renewed,0,0,,1
02618355,,1997-12-05,Secrecy Order Renewed,0,0,,1
02618355,,1995-12-14,Secrecy Order Renewed,0,0,,1
02618355,,1994-12-12,Secrecy Order Renewed,0,0,,1
02618355,,1993-12-21,Secrecy Order Renewed,0,0,,1
02618355,,1991-12-16,Secrecy Order Renewed,0,0,,1
02618355,,1990-12-07,Secrecy Order Renewed,0,0,,1
02618355,,1990-01-11,Secrecy Order Imposed,0,0,,1
02645467,,2004-03-04,Mail Notice of Allowance,0,0,,1
02645467,,2004-03-03,Notice of Allowance Data Verification Completed,0,0,,1
02645467,,2004-03-03,Case Docketed to Examiner in GAU,0,0,,1
02645467,,2004-03-01,Date Forwarded to Examiner,0,0,,1
02645467,,2004-02-19,Response after Non-Final Action,0,0,,1
02645467,,2004-02-19,Request for Extension of Time - Granted,0,0,,1
02645467,,2003-10-20,Mail Non-Final Rejection,0,0,,1
02645467,,2003-10-17,Correspondence Address Change,0,0,,1
02645467,,2003-10-01,Non-Final Rejection,0,0,,1
02645467,,2003-09-30,Case Docketed to Examiner in GAU,0,0,,1
02645467,,2003-09-30,Case Docketed to Examiner in GAU,0,0,,1
02645467,,2003-09-30,Dispatch from OIPE to Corps - U-P-R-D Application,0,0,,1
02645467,,2003-09-30,Initial Exam Team nn,0,0,,1
02645467,,2003-09-30,Application Return from OIPE,0,0,,1
02645467,,2003-09-30,Application Is Now Complete,0,0,,1
02645467,,2003-09-30,Application Return TO OIPE,0,0,,1
02645467,,2003-09-22,Case Docketed to Examiner in GAU,0,0,,1
02645467,,2003-09-15,Secrecy Order Rescinded,0,0,,1
02645467,,2002-12-30,Secrecy Order Renewed,0,0,,1
02645467,,2001-12-12,Secrecy Order Renewed,0,0,,1
02645467,,2000-12-11,Secrecy Order Renewed,0,0,,1
02645467,,1999-12-30,Secrecy Order Renewed,0,0,,1
02645467,,1998-12-03,Secrecy Order Renewed,0,0,,1
02645467,,1997-12-18,Secrecy Order Renewed,0,0,,1
02645467,,1996-12-18,Secrecy Order Renewed,0,0,,1
02645467,,1995-12-15,Secrecy Order Renewed,0,0,,1
02645467,,1994-12-12,Secrecy Order Renewed,0,0,,1
02645467,,1993-12-27,Secrecy Order Renewed,0,0,,1
02645467,,1992-12-28,Secrecy Order Renewed,0,0,,1
02645467,,1991-12-18,Secrecy Order Renewed,0,0,,1
02645467,,1991-01-03,Secrecy Order Renewed,0,0,,1
02645467,,1990-01-09,Secrecy Order Imposed,0,0,,1
03011650,,2003-10-03,Mail Notice of Allowance,0,0,,1
03011650,,2003-10-01,Notice of Allowance Data Verification Completed,0,0,,1
03011650,,2003-10-01,Case Docketed to Examiner in GAU,0,0,,1
03011650,,2003-09-30,Application Return from OIPE,0,0,,1
03011650,,2003-09-30,Application Is Now Complete,0,0,,1
03011650,,2003-09-30,Application Return TO OIPE,0,0,,1
03011650,,2003-09-22,Case Docketed to Examiner in GAU,0,0,,1
03011650,,2003-09-22,Case Docketed to Examiner in GAU,0,0,,1
03011650,,2003-09-12,Secrecy Order Rescinded,0,0,,1
03011650,,2003-01-21,Secrecy Order Renewed,0,0,,1
03011650,,2002-01-23,Secrecy Order Renewed,0,0,,1
03011650,,2001-01-12,Secrecy Order Renewed,0,0,,1
03011650,,2000-12-28,Case Docketed to Examiner in GAU,0,0,,1
03011650,,2000-01-05,Secrecy Order Renewed,0,0,,1
03011650,,1998-01-08,Secrecy Order Renewed,0,0,,1
03011650,,1997-01-06,Secrecy Order Renewed,0,0,,1
03011650,,1994-01-13,Secrecy Order Renewed,0,0,,1
03011650,,1993-02-09,Secrecy Order Renewed,0,0,,1
03011650,,1992-02-04,Secrecy Order Renewed,0,0,,1
03011650,,1991-01-24,Secrecy Order Renewed,0,0,,1
03011650,,1990-02-09,Secrecy Order Renewed,0,0,,1
03011650,,1989-09-22,Case Docketed to Examiner in GAU,0,0,,1
03011650,,1989-01-16,Secrecy Order Imposed,0,0,,1
03237574,,2003-06-10,Mail Notice of Allowance,0,0,,1
03237574,,2003-06-04,Notice of Allowance Data Verification Completed,0,0,,1
03237574,,2003-02-27,Mail PTAB Decision on Appeal - Reversed,0,0,,1
03237574,,2003-02-27,PTAB Decision - Examiner Reversed,0,575,,1
03237574,,2002-12-13,Confirmation of Hearing by Appellant,0,0,,1
03237574,,2002-11-06,Docketing Notice Mailed to Appellant,0,0,,1
03237574,,2002-11-06,Assignment of Appeal Number,0,0,,1
03237574,,2002-11-04,Appeal Awaiting PTAB Docketing,0,0,,1
03237574,,2002-10-17,Mail Reply Brief Noted by Examiner,0,0,,1
03237574,,2002-09-27,Reply Brief Noted by Examiner,0,0,,1
03237574,,2002-08-21,Request for Oral Hearing,0,0,,1
03237574,,2002-08-28,Date Forwarded to Examiner,0,0,,1
03237574,,2002-08-21,Reply Brief Filed,0,0,,1
03237574,,2002-06-24,Mail Examiner's Answer,0,0,,1
03237574,,2002-06-03,Examiner's Answer to Appeal Brief,0,0,,1
03237574,,2002-03-08,Interview Summary Record,0,0,,1
03237574,,2002-06-03,Date Forwarded to Examiner,0,0,,1
03237574,,2002-03-08,Appeal Brief Filed,0,0,,1
03237574,,2002-03-01,Mail-Petition Decision - Granted,0,0,,1
03237574,,2002-02-13,Petition Entered,0,0,,1
03237574,,2002-02-08,Notice -- Defective Appeal Brief,0,0,,1
03237574,,2001-12-26,Date Forwarded to Examiner,0,0,,1
03237574,,2001-10-01,Defective / Incomplete Appeal Brief Filed,0,0,,1
03237574,,2001-10-01,Appeal Brief Filed,0,0,,1
03237574,,2001-08-02,Notice of Appeal Filed,0,0,,1
03237574,,2001-06-20,Interview Summary Record,0,0,,1
03237574,,2001-05-02,Mail Final Rejection (PTOL - 326),0,0,,1
03237574,,2001-04-23,Final Rejection,0,0,,1
03237574,,2001-02-12,Affidavit(s) (Rule 131 or 132) or Exhibit(s) Received,0,0,,1
03237574,,2001-03-01,Date Forwarded to Examiner,0,0,,1
03237574,,2001-02-12,Response after Non-Final Action,0,0,,1
03237574,,2001-02-12,Request for Extension of Time - Granted,0,0,,1
03237574,,2000-10-11,Mail Notice of Restarted Response Period,0,0,,1
03237574,,2000-10-11,Letter Restarting Period for Response (i.e. Letter re References),0,0,,1
03237574,,2000-09-28,Correspondence Address Change,0,0,,1
03237574,,2000-09-28,Mail Non-Final Rejection,0,0,,1
03237574,,2000-09-21,Non-Final Rejection,0,0,,1
03237574,,1999-07-29,Case Docketed to Examiner in GAU,0,0,,1
03237574,,1999-07-29,Security Classification Markings Removed,0,0,,1
03237574,,1999-07-13,Secrecy Order Rescinded,0,0,,1
03237574,,1998-01-08,Secrecy Order Renewed,0,0,,1
03237574,,1997-01-07,Secrecy Order Renewed,0,0,,1
03237574,,1996-02-06,Secrecy Order Renewed,0,0,,1
03237574,,1995-01-05,Secrecy Order Renewed,0,0,,1
03237574,,1994-02-04,Secrecy Order Renewed,0,0,,1
03237574,,1993-01-19,Secrecy Order Renewed,0,0,,1
03237574,,1992-01-24,Secrecy Order Renewed,0,0,,1
03237574,,1991-01-25,Secrecy Order Renewed,0,0,,1
03237574,,1951-08-21,Secrecy Order Imposed,0,0,,1
03429712,,2003-10-03,Mail Notice of Allowance,0,0,,1
03429712,,2003-10-01,Notice of Allowance Data Verification Completed,0,0,,1
03429712,,2003-09-30,Case Docketed to Examiner in GAU,0,0,,1
03429712,,2003-09-30,Case Docketed to Examiner in GAU,0,0,,1
03429712,,2003-09-30,Dispatch from OIPE to Corps - U-P-R-D Application,0,0,,1
03429712,,1954-05-13,Initial Exam Team nn,0,0,,1
03429712,,2003-09-30,Application Return from OIPE,0,0,,1
03429712,,2003-09-30,Application Is Now Complete,0,0,,1
03429712,,2003-09-30,Application Return TO OIPE,0,0,,1
03429712,,2003-09-22,Case Docketed to Examiner in GAU,0,0,,1
03429712,,2003-09-12,Secrecy Order Rescinded,0,0,,1
03429712,,2003-01-23,Secrecy Order Renewed,0,0,,1
03429712,,2002-01-28,Secrecy Order Renewed,0,0,,1
03429712,,2001-01-16,Secrecy Order Renewed,0,0,,1
03429712,,2000-01-06,Secrecy Order Renewed,0,0,,1
03429712,,1998-01-08,Secrecy Order Renewed,0,0,,1
03429712,,1997-01-07,Secrecy Order Renewed,0,0,,1
03429712,,1996-02-07,Secrecy Order Renewed,0,0,,1
03429712,,1995-01-06,Secrecy Order Renewed,0,0,,1
03429712,,1994-02-04,Secrecy Order Renewed,0,0,,1
03429712,,1993-01-26,Secrecy Order Renewed,0,0,,1
03429712,,1992-01-28,Secrecy Order Renewed,0,0,,1
03429712,,1991-01-28,Secrecy Order Renewed,0,0,,1
03429712,,1990-02-12,Secrecy Order Renewed,0,0,,1
03429712,,1954-06-15,Secrecy Order Imposed,0,0,,1
03755362,,2003-06-13,Mail Notice of Allowance,0,0,,1
03755362,,2003-06-12,Notice of Allowance Data Verification Completed,0,0,,1
03755362,,2003-06-10,Application Is Now Complete,0,0,,1
03755362,,2003-06-10,Date Forwarded to Examiner,0,0,,1
03755362,,2002-03-18,Response after Ex Parte Quayle Action,0,0,,1
03755362,,2003-06-10,Mail Notice of Rescinded Abandonment,0,0,,1
03755362,,2003-06-10,Notice of Rescinded Abandonment in TCs,0,0,,1
03755362,,2003-06-10,Application Return from OIPE,0,0,,1
03755362,,2003-06-04,Mail-Petition to Revive Application - Granted,0,0,,1
03755362,,2002-11-18,Petition Entered,0,0,,1
03755362,,2003-02-27,Application Return TO OIPE,0,0,,1
03755362,,2003-02-27,Application Return from OIPE,0,0,,1
03755362,,2003-02-27,Application Return TO OIPE,0,0,,1
03755362,,2003-02-13,Security Classification Markings Removed,0,0,,1
03755362,,2002-09-25,Mail Abandonment for Failure to Respond to Office Action,0,0,,1
03755362,,2002-09-25,Aband. for Failure to Respond to O. A.,0,0,,1
03755362,,2002-02-07,Mail Ex Parte Quayle Action (PTOL - 326),0,0,,1
03755362,,2002-02-07,Quayle action,0,0,,1
03755362,,1999-08-02,Case Docketed to Examiner in GAU,0,0,,1
03755362,,1999-05-20,Secrecy Order Rescinded,0,0,,1
03755362,,1998-07-29,Secrecy Order Renewed,0,0,,1
03755362,,1997-07-29,Secrecy Order Renewed,0,0,,1
03755362,,1996-07-29,Secrecy Order Renewed,0,0,,1
03755362,,1995-08-04,Secrecy Order Renewed,0,0,,1
03755362,,1994-08-04,Secrecy Order Renewed,0,0,,1
03755362,,1992-01-13,Secrecy Order Renewed,0,0,,1
03755362,,1992-01-13,Secrecy Order Renewed,0,0,,1
03755362,,1989-12-14,Secrecy Order Renewed,0,0,,1
03755362,,1988-12-16,Secrecy Order Renewed,0,0,,1
03755362,,1987-12-30,Secrecy Order Renewed,0,0,,1
03755362,,1987-01-09,Secrecy Order Renewed,0,0,,1
03755362,,1985-01-22,Correspondence Address Change,0,0,,1
03755362,,1986-01-09,Secrecy Order Renewed,0,0,,1
03755362,,1985-01-11,Secrecy Order Renewed,0,0,,1
03755362,,1984-01-11,Secrecy Order Renewed,0,0,,1
03755362,,1983-01-13,Secrecy Order Renewed,0,0,,1
03755362,,1982-01-15,Secrecy Order Imposed,0,0,,1
04394390,,2003-02-24,Mail Notice of Allowance,0,0,,1
04394390,,2003-02-06,Notice of Allowance Data Verification Completed,0,0,,1
04394390,,2003-02-06,Case Docketed to Examiner in GAU,0,0,,1
04394390,,2003-01-29,Mail PTAB Decision on Appeal - Reversed,0,0,,1
04394390,,2003-01-29,PTAB Decision - Examiner Reversed,0,0,,1
04394390,,2002-11-07,Application Return from OIPE,0,0,,1
04394390,,2002-11-07,Application Is Now Complete,0,0,,1
04394390,,2002-11-07,Application Return TO OIPE,0,0,,1
04394390,,2002-11-06,Assignment of Appeal Number,0,0,,1
04394390,,2002-11-04,Appeal Awaiting PTAB Docketing,0,0,,1
04394390,,2002-07-16,Mail Notice of Withdrawn Action,0,0,,1
04394390,,2002-07-16,Withdrawing/Vacating Office Action Letter,0,0,,1
04394390,,2002-07-16,Security Classification Markings Removed,0,0,,1
04394390,,2002-05-31,Mail Miscellaneous Communication to Applicant,0,0,,1
04394390,,2002-05-31,Miscellaneous Action with SSP,0,0,,1
04394390,,2002-05-30,Date Forwarded to Examiner,0,0,,1
04394390,,1965-09-29,Mail Final Rejection (PTOL - 326),0,0,,1
04394390,,2002-05-30,Final Rejection,0,0,,1
04394390,,2002-05-30,Date Forwarded to Examiner,0,0,,1
04394390,,1965-09-14,Response after Non-Final Action,0,0,,1
04394390,,1965-08-12,Mail Non-Final Rejection,0,0,,1
04394390,,2002-05-30,Non-Final Rejection,0,0,,1
04394390,,2002-05-30,Case Docketed to Examiner in GAU,0,0,,1
04394390,,2002-05-30,Dispatch from OIPE to Corps - U-P-R-D Application,0,0,,1
04394390,,1964-08-31,Initial Exam Team nn,0,0,,1
04394390,,2002-03-21,Miscellaneous Incoming Letter,0,0,,1
04394390,,1980-07-26,Set Application Status,0,0,,1
04394390,,1999-05-20,Secrecy Order Rescinded,0,0,,1
04394390,,1998-04-22,Secrecy Order Renewed,0,0,,1
04394390,,1997-04-23,Secrecy Order Renewed,0,0,,1
04394390,,1996-10-16,Communication - Re: Power of Attorney (PTOL-308),0,0,,1
04394390,,1996-09-18,Change in Power of Attorney (May Include Associate POA),0,0,,1
04394390,,1996-04-26,Secrecy Order Renewed,0,0,,1
04394390,,1995-05-02,Secrecy Order Renewed,0,0,,1
04394390,,1994-05-05,Secrecy Order Renewed,0,0,,1
04394390,,1993-02-25,Secrecy Order Renewed,0,0,,1
04394390,,1992-02-27,Secrecy Order Renewed,0,0,,1
04394390,,1991-02-28,Secrecy Order Renewed,0,0,,1
04394390,,1990-03-07,Secrecy Order Renewed,0,0,,1
04394390,,1989-03-15,Secrecy Order Renewed,0,0,,1
04394390,,1988-03-18,Secrecy Order Renewed,0,0,,1
04394390,,1985-02-14,Correspondence Address Change,0,0,,1
04394390,,1985-03-01,Secrecy Order Renewed,0,0,,1
04394390,,1984-03-02,Secrecy Order Renewed,0,0,,1
04394390,,1983-03-03,Secrecy Order Renewed,0,0,,1
04394390,,1982-03-03,Secrecy Order Imposed,0,0,,1
04446144,,2002-04-19,Mail Corrected Notice of Allowance,0,0,,1
04446144,,2002-04-19,Mail Examiner's Amendment,0,0,,1
04446144,,2002-04-19,Corrected Notice of Allowance,0,0,,1
04446144,,2002-04-19,Examiner's Amendment Communication,0,0,,1
04446144,,2002-03-07,Workflow - File Sent to Contractor,0,0,,1
04446144,,2002-03-07,Receipt into Pubs,0,0,,1
04446144,,2002-03-06,Dispatch to Publications,0,0,,1
04446144,,2002-02-26,Mail Notice of Allowance,0,0,,1
04446144,,2002-02-25,Notice of Allowance Data Verification Completed,0,0,,1
04446144,,2002-02-14,Date Forwarded to Examiner,0,0,,1
04446144,,2001-10-25,Response after Ex Parte Quayle Action,0,0,,1
04446144,,2002-02-14,Mail Notice of Rescinded Abandonment,0,0,,1
04446144,,2002-02-12,Notice of Rescinded Abandonment in TCs,0,0,,1
04446144,,2002-02-12,Correspondence Address Change,0,0,,1
04446144,,2002-02-06,Security Classification Markings Removed,0,0,,1
04446144,,1995-03-14,Claim Preliminary Amendment,0,0,,1
04446144,,1995-03-14,Drawing Preliminary Amendment,0,0,,1
04446144,,2002-01-24,Mail-Petition to Revive Application - Granted,0,0,,1
04446144,,2001-10-25,Petition Entered,0,0,,1
04446144,,2001-01-26,Mail Abandonment for Failure to Respond to Office Action,0,0,,1
04446144,,2001-01-26,Aband. for Failure to Respond to O. A.,0,0,,1
04446144,,2000-06-05,Mail Ex Parte Quayle Action (PTOL - 326),0,0,,1
04446144,,2000-06-05,Quayle action,0,0,,1
04446144,,2000-05-18,Case Docketed to Examiner in GAU,0,0,,1
04446144,,2000-04-07,Secrecy Order Rescinded,0,0,,1
04446144,,1999-02-22,Secrecy Order Renewed,0,0,,1
04446144,,1998-02-26,Secrecy Order Renewed,0,0,,1
04446144,,1997-02-26,Secrecy Order Renewed,0,0,,1
04446144,,1996-02-29,Secrecy Order Renewed,0,0,,1
04446144,,1995-03-14,Correspondence Address Change,0,0,,1
04446144,,1995-03-02,Secrecy Order Renewed,0,0,,1
04446144,,1994-03-07,Secrecy Order Renewed,0,0,,1
04446144,,1993-03-08,Secrecy Order Renewed,0,0,,1
04446144,,1990-12-31,Secrecy Order Renewed,0,0,,1
04446144,,1989-10-03,Secrecy Order Renewed,0,0,,1
04446144,,1988-10-05,Secrecy Order Renewed,0,0,,1
04446144,,1987-10-01,Secrecy Order Renewed,0,0,,1
04446144,,1986-07-31,Secrecy Order Renewed,0,0,,1
04446144,,1985-08-01,Secrecy Order Renewed,0,0,,1
04446144,,1984-08-03,Secrecy Order Renewed,0,0,,1
04446144,,1983-08-05,Secrecy Order Renewed,0,0,,1
04446144,,1982-08-06,Secrecy Order Imposed,0,0,,1
04520820,,2004-07-20,Mail Notice of Allowance,0,0,,1
04520820,,2004-07-12,Notice of Allowance Data Verification Completed,0,0,,1
04520820,,2004-06-23,Case Docketed to Examiner in GAU,0,0,,1
04520820,,2004-06-02,Secrecy Order Rescinded,0,0,,1
04520820,,2003-04-23,Mail Miscellaneous Communication to Applicant,0,0,,1
04520820,,2003-04-23,Miscellaneous Communication to Applicant - No Action Count,0,0,,1
04520820,,2003-04-23,Secrecy Order Renewed,0,0,,1
04520820,,2002-03-22,Secrecy Order Renewed,0,0,,1
04520820,,1993-04-26,Claim Preliminary Amendment,0,0,,1
04520820,,1998-06-05,Claim Preliminary Amendment,0,0,,1
04520820,,2001-03-22,Secrecy Order Renewed,0,0,,1
04520820,,1999-08-05,Secrecy Order Renewed,0,0,,1
04520820,,1998-10-07,Case Docketed to Examiner in GAU,0,0,,1
04520820,,1998-06-05,Correspondence Address Change,0,0,,1
04520820,,1997-04-09,Secrecy Order Renewed,0,0,,1
04520820,,1996-04-08,Secrecy Order Renewed,0,0,,1
04520820,,1995-04-06,Secrecy Order Renewed,0,0,,1
04520820,,1994-04-08,Secrecy Order Renewed,0,0,,1
04520820,,1993-05-18,Case Docketed to Examiner in GAU,0,0,,1
04520820,,1993-05-18,Communication - Re: Power of Attorney (PTOL-308),0,0,,1
04520820,,1993-04-26,Change in Power of Attorney (May Include Associate POA),0,0,,1
04520820,,1992-09-15,Secrecy Order Renewed,0,0,,1
04520820,,1989-12-20,Secrecy Order Renewed,0,0,,1
04520820,,1988-12-30,Secrecy Order Renewed,0,0,,1
04520820,,1988-01-05,Secrecy Order Renewed,0,0,,1
04520820,,1987-01-02,Secrecy Order Renewed,0,0,,1
04520820,,1986-01-16,Secrecy Order Renewed,0,0,,1
04520820,,1985-01-17,Secrecy Order Renewed,0,0,,1
04520820,,1984-01-19,Secrecy Order Renewed,0,0,,1
04520820,,1983-01-25,Secrecy Order Renewed,0,0,,1
04520820,,1982-01-28,Secrecy Order Imposed,0,0,,1
04520821,,2004-02-26,Mail Notice of Allowance,0,0,,1
04520821,,2004-02-26,Mail Formal Drawings Required,0,0,,1
04520821,,2004-02-25,Formal Drawings Required,0,0,,1
04520821,,2004-02-25,Notice of Allowance Data Verification Completed,0,0,,1
04520821,,2004-02-12,Power to Make Copies and/or Inspect,0,0,,1
04520821,,2004-02-11,Date Forwarded to Examiner,0,0,,1
04520821,,2003-09-11,Response after Ex Parte Quayle Action,0,0,,1
04520821,,2003-09-11,Request for Extension of Time - Granted,0,0,,1
04520821,,2004-02-12,Mail Notice of Rescinded Abandonment,0,0,,1
04520821,,2004-02-11,Notice of Rescinded Abandonment in TCs,0,0,,1
04520821,,2003-11-17,Mail Abandonment for Failure to Respond to Office Action,0,0,,1
04520821,,2003-11-14,Aband. for Failure to Respond to O. A.,0,0,,1
04520821,,2003-04-08,Mail Ex Parte Quayle Action (PTOL - 326),0,0,,1
04520821,,2003-04-02,Quayle action,0,0,,1
04520821,,2003-04-02,Case Docketed to Examiner in GAU,0,0,,1
04520821,,2003-02-06,Secrecy Order Rescinded,0,0,,1
04520821,,1993-04-26,Claim Preliminary Amendment,0,0,,1
04520821,,1993-04-26,Drawing Preliminary Amendment,0,0,,1
04520821,,2000-02-03,Secrecy Order Renewed,0,0,,1
04520821,,1998-10-07,Case Docketed to Examiner in GAU,0,0,,1
04520821,,1997-04-09,Secrecy Order Renewed,0,0,,1
04520821,,1996-04-08,Secrecy Order Renewed,0,0,,1
04520821,,1995-04-06,Secrecy Order Renewed,0,0,,1
04520821,,1994-04-07,Secrecy Order Renewed,0,0,,1
04520821,,1993-05-18,Case Docketed to Examiner in GAU,0,0,,1
04520821,,1993-05-18,Communication - Re: Power of Attorney (PTOL-308),0,0,,1
04520821,,1993-04-26,Change in Power of Attorney (May Include Associate POA),0,0,,1
04520821,,1992-09-15,Secrecy Order Renewed,0,0,,1
04520821,,1989-12-20,Secrecy Order Renewed,0,0,,1
04520821,,1988-12-30,Secrecy Order Renewed,0,0,,1
04520821,,1988-01-05,Secrecy Order Renewed,0,0,,1
04520821,,1987-01-02,Secrecy Order Renewed,0,0,,1
04520821,,1986-01-16,Secrecy Order Renewed,0,0,,1
04520821,,1985-01-17,Secrecy Order Renewed,0,0,,1
04520821,,1984-01-19,Secrecy Order Renewed,0,0,,1
04520821,,1983-01-25,Secrecy Order Renewed,0,0,,1
04520821,,1982-01-28,Secrecy Order Imposed,0,0,,1
04554637,,2002-08-26,Mail Notice of Allowance,0,0,,1
04554637,,2002-08-26,Notice of Allowance Data Verification Completed,0,0,,1
04554637,,2002-08-09,Security Classification Markings Removed,0,0,,1
04554637,,2002-08-09,Case Docketed to Examiner in GAU,0,0,,1
04554637,,2002-08-09,Dispatch from OIPE to Corps - U-P-R-D Application,0,0,,1
04554637,,1966-05-27,Initial Exam Team nn,0,0,,1
04554637,,2002-06-11,Secrecy Order Rescinded,0,0,,1
04554637,,1970-06-10,Claim Preliminary Amendment,0,0,,1
04554637,,1970-06-10,Drawing Preliminary Amendment,0,0,,1
04554637,,1998-10-28,Secrecy Order Renewed,0,0,,1
04554637,,1997-10-31,Secrecy Order Renewed,0,0,,1
04554637,,1996-11-01,Secrecy Order Renewed,0,0,,1
04554637,,1995-10-24,Secrecy Order Renewed,0,0,,1
04554637,,1994-10-25,Secrecy Order Renewed,0,0,,1
04554637,,1993-10-27,Secrecy Order Renewed,0,0,,1
04554637,,1992-09-25,Secrecy Order Renewed,0,0,,1
04554637,,1991-09-04,Secrecy Order Renewed,0,0,,1
04554637,,1989-12-04,Secrecy Order Renewed,0,0,,1
04554637,,1987-12-02,Secrecy Order Renewed,0,0,,1
04554637,,1986-12-19,Secrecy Order Renewed,0,0,,1
04554637,,1970-06-10,Correspondence Address Change,0,0,,1
04554637,,1985-12-20,Secrecy Order Renewed,0,0,,1
04554637,,1985-01-03,Secrecy Order Renewed,0,0,,1
04554637,,1983-01-07,Secrecy Order Renewed,0,0,,1
04554637,,1982-01-07,Secrecy Order Imposed,0,0,,1
04594943,,2003-10-02,Mail Notice of Allowance,0,0,,1
04594943,,2003-10-01,Notice of Allowance Data Verification Completed,0,0,,1
04594943,,2003-10-01,Case Docketed to Examiner in GAU,0,0,,1
