event_code,description
C105-I-P,Requirement under Rule 105 after Allowance - Independent
C106,C106
C132,C132
C600,Supplemental Papers - Oath or Declaration
C602,Oath or Declaration Filed (Including Supplemental)
C603,Paper Filed Supplying Applicant's Full Name
C604,Substitute Specification Filed
C605,Certified Translation of Specification Filed
C608,Paper Claiming Foreign Priority (No Priority Papers Included)
C610,Foreign Priority Papers Filed (May Include Priority Claim)
C614,New or Additional Drawing Filed
C680,Request for Corrected Notice of Allowance
C685,Balance of Issue Fee Paid
C690,Request for Certificate of Correction
C694,Request for New or Replacement Patent Grant
C844,Rule 704-Compliant Prior Art Citation Filed
C9GR,COVID 19 Deferred Fee Provisional Program - Acceptance
CCRDY,Application ready for PDX access by participating foreign offices
CDAF,Court Decision - Affirmed
CDEN,Post Issue Communication - Certificate of Correction Denied
CFRPT,Corrected filing receipt
CLAIM,Claim Preliminary Amendment
CLCH,Claim Change
CLMPCT1N,Claim comparison Ch I - not similar
CLMPCT1S,Claim comparison Ch I - similar
CLMPCT2S,Claim comparison Ch II - similar
CLTI,Close TI
CMAB,CMAB
CNOA,Corrected Notice of Allowability
CNTS,SIR Disposal credit
COCM,Certificate of Correction Memo
CODR,Commissioner Initiated Order for Reexam
COFC,Application Is Considered for C of C
COMP,Application Is Now Complete
CONV,Pre_Exam Conversion
CONVR,Pre-Exam Conversion
CORI,Workflow - Incoming Correspondence - Begin
CORM,Workflow - Incoming Correspondence - Finish
CORP,PCT forwarded to TC
CORRCHNG,Change of Address
CORRDRW,Applicant has submitted new drawings to correct Corrected Papers problems
CORRSPEC,Applicant has submitted a new specification to correct Corrected Papers problems
CPA-AMD,RCE Amendment Informal or Non-Responsive
CPAP,Corrected Paper
CPICO,Response to PICO-CFR 1.11
CPTO,Claims PTO
CPYANNEX,Copy of Annexes to the International Preliminary Examination Report
CPYART19,Copy of Article 19 Amendments
CPYIA,Copy of the International Application
CPYIPER,Copy of the International Preliminary Examination Report
CPYISR,Copy of the International Search Report
CPYREF,Copy of references cited in International Search Report
CRCT,Count Credited to PCT Paralegal
CRFA,Sequence Moved to Public Database
CRFC,CRF Technically Sound and Matches Specification
CRFD,CRF Is Flawed Technically / Not Entered into Database
CRFE,CRF Is Good Technically / Entered into Database
CRFF,Error(s) in CRF Corrected by STIC
CRFI,CRF Sequence Lisitng Filed via EFS
CRFL,CRF Disk Has Been Received by Preexam / Group / PCT
CRFM,Request to Copy/Transfer CRF (37CFR1.821E)
CRFN,CRF Does Not Match Application Specification -- Applicant Must Correct
CRFP,Biotech Sequence Appeared in Patent
CRFR,CRF Diskette Unreadable / Did Not Comply / Required but Not Submitted
CRFT,Sequence Forwarded to Pubs on Tape
CRFW,Sequence Withdrawn -- No CRF Required
CRWD,CRWD
CSRF,Workflow - Customer Service Request - Finish
CSRI,Workflow - Customer Service Request - Begin
CTAV,Advisory Action (PTOL-303)
CTEQ,Quayle action
CTFR,Final Rejection
CTID,Interference Initial Memo Disposal
CTIN,Interference Initial Memo Non-Disposal
CTMS,Miscellaneous Action with SSP
CTNF,Non-Final Rejection
CTRS,Restriction/Election Requirement
CTSF,PCT - Chapter 1 P210 / P237 (Full count)
CTSH,PCT - Chapter 1 P210 / P237 (Half Count)
D1220,Dispatch to Publications
D1221,Dispatch to L&R
D1935,Dispatch to FDC
D5001,Dispatch from OIPE to Corps - U-P-R-D Application
D5002,Set Re-exam to  Ready for Docketing
D5003,Dispatch from PCT Operations -Chapter I
DABN,Decision Noting Abandonment
DC..,DC..
DC/R,Decision of Request for Reconsideration / Clarification
DCMP,DCMP
DCPA,Continuing Prosecution Application - Divisional (DCPA)
DCRF,CRF response - Non Bonafide
DCRI,Decision Setting Period for Comment and/or Requirement for Information
DCSP,DCSP
DDSC,DDSC
DDSI,DDSI
DDSM,DDSM
DDUT,DDUT
DED.,Post Issue Communication - Dedicate Life of Patent to Public/Disclaimers
DELD,Application Deleted from Examiner's Docket
DERIVDEN,Derivation Denied
DERIVDIS,Derivation Dismissed
DERIVFWD,Derivation Final Written Decision
DERIVGRT,Derivation Granted or Granted in Part
DERIVPET,Petition Requesting Derivation
DGCO,Application Ordered to Match Drawing(s)
DGCR,Application Received to Match Drawing(s)
DGM1,Drawing(s) Matched to Application
DGM2,Drawing(s) Matched to Application
DGM3,Drawing(s) Matched to Application
DGM4,Drawing(s) Matched to Application
DGM5,Drawing(s) Matched to Application
DGM6,Drawing(s) Matched to Application
DGM7,Drawing(s) Matched to Application
DGM8,Drawing(s) Matched to Application
DGM9,Drawing(s) Matched to Application
DGP1,Drawing(s) Processing Completed
DGP2,Drawing(s) Processing Completed
DGP3,Drawing(s) Processing Completed
DGP4,Drawing(s) Processing Completed
DGP5,Drawing(s) Processing Completed
DGP6,Drawing(s) Processing Completed
DGP7,Drawing(s) Processing Completed
DGP8,Drawing(s) Processing Completed
DGP9,Drawing(s) Processing Completed
DGR1,Mailroom Date of Drawing(s)
DGR2,Mailroom Date of Drawing(s)
DGR3,Mailroom Date of Drawing(s)
DGR4,Mailroom Date of Drawing(s)
DGR5,Mailroom Date of Drawing(s)
DGR6,Mailroom Date of Drawing(s)
DGR7,Mailroom Date of Drawing(s)
DGR8,Mailroom Date of Drawing(s)
DGR9,Mailroom Date of Drawing(s)
DGU1,Drawing(s) Received at Publications
DGU2,Drawing(s) Received at Publications
DGU3,Drawing(s) Received at Publications
DGU4,Drawing(s) Received at Publications
DGU5,Drawing(s) Received at Publications
DGU6,Drawing(s) Received at Publications
DGU7,Drawing(s) Received at Publications
DGU8,Drawing(s) Received at Publications
DGU9,Drawing(s) Received at Publications
DISC,DISC
DISQ,Terminal Disclaimer Approved in TC
DIST,Terminal Disclaimer Filed
DKST,Case Docketed or Redocketed to Examiner in GAU
DKTD,371 Application Preexamination Docketing
DLYWAIVE,Request for immediate examination under 35 U.S.C. 371(f)
DNS.,Decision -  Do Not Strike Application under 37 CFR 1.56(c)
DOCK,Case Docketed to Examiner in GAU
DP..,Request for Defensive Publication Filed
DP.A,Request for Defensive Publication Approved
DPAC,Preauthorization to Have Fees Charged to Deposit Account Recorded
DR..,Decision - Application Returned for Examination
DRAC,Decision - Action Refused under 37 CFR 1.56(c)
DRAWING,Drawing Preliminary Amendment
DRCDK,Rocket Docket Request Denied
DRQS,Decision - Request to Lift Suspension Denied
DRRI,Decision - Application Returned for Examination and Requirement for Information
DRRJ,Decision - Rejection Refused under 37 CFR 1.56(d)
DRWC,Workflow - Administrative Close of Drawing Set
DRWF,Workflow - Drawings Finished
DRWI,Workflow - Drawings Received at Contractor
DRWM,Workflow - Drawings Matched with File at Contractor
DRWR,Workflow - Drawings Sent to Contractor
DRWS,Workflow - Complete WF Records for Drawings
DSES,Decision on Request for Small Entity Status Change
DSIR,SIR request Denied
DSMP,DSMP
DSUD,Suspension-Deferred Examination Request Denied or dismissed
DT/G,Request for Additional Response Time Granted
DUPL,Duplicate case has been deactivated
DYWD,Applicant Delay Waived
EA..,Examiner's Answer Mailed
EA2.,Supplemental Examiner's Answer
EABA,Acknowledgement of Express Abandonment
EABN,Letter of Express Abandonment Filed
EARB,Supplemental Examiner's Answer Mailed
EAS.,Supplemental Examiner's Answer Mailed
EASA,EASA
EASE,EASE
EASR,EASR
EAST,EAST
EASU,EASU
EASY,EASY
EFIL,Electronic Filing of Original Application Papers
EIDS.,Electronic Information Disclosure Statement
ELC.,Response to Election / Restriction Filed
ELC_RVW,Electronic Review
ELER,Notice of Final Determination -Election Required
EML_NTF,Email Notification
EML_NTR,Email Notification
EMP.ACPT,Request to participate in missing parts pilot accepted
EMP.AICR,EMP request accepted late.  Reply due 12 months from date of original notice
EMP.RJCT,Request to participate in missing parts pilot rejected
EOSP,to Close the A/R Record and Reset the Status for Expired Suspensions.
EPQ.,Ex Parte Quayle Action Mailed
EPRQ,PGPubs early publication request
ESD,Examination support document
EX.A,Examiner's Amendment Communication
EX.R,Reasons for Allowance
EXABN,Applicant has Expressly requested that the case be Abandoned
EXAC,Interview Summary - Applicant Initiated - Conference
EXAP,Interview Summary - Applicant Initiated - Personal
EXAT,Interview Summary - Applicant Initiated - Telephonic
EXEC,Interview Summary - Examiner Initiated - Conference
EXEP,Interview Summary - Examiner Initiated - Personal
EXET,Interview Summary - Examiner Initiated - Telephonic
EXIA,Interview Summary- Applicant Initiated
EXIE,Interview Summary - Examiner Initiated
EXIN,Interview Summary Record
EXP.,Expire Patent
EXPRO,EXPIRED PROVISIONAL
F...,XXXXX
F312,Workflow - 312 Amendment - Finish
F525,Flagged for 5/25
FA01,X-Final Review Allowed
FA02,X-Final Review Allowed
FAIA,Pilot-First Action Interview Office Action (FAI Step 2)
FAOO,Pilot-First Action (FA) without FA Interview (FAI Alternate Step 2)
FATY,Workflow - Power of Attorney - Finish
FCPA,Workflow - Request for CPA - Finish
FEE.,"Fee Payment Recorded (fees filed separately e.g. not with original papers, etc)."
FIDS,Workflow - Informational Disclosure Statement - Finish
FILM,Application Captured on Microfilm
FLASH,FLASH request granted
FLFEE,Payment of additional filing fee/Preexam
FLRCPT.C,Filing Receipt - Corrected
FLRCPT.O,Filing Receipt
FLRCPT.R,Filing Receipt - Replacement
FLRCPT.U,Filing Receipt - Updated
FNTF,Finish Notification to File Corrected Application Papers
FOND,Case Found
FPAY,Fee Payment Recorded
FPET,Workflow - Petition - Finish
FR02,X-Final Review Rejected
FRCE,Workflow - Request for RCE - Finish
FREF,Final Refusal of SIR Request
FTFB,FITF set to NO - benefit/priority claim(s) to appln filed before 3/16/2013
FTFC,FITF set to YES - a claim w/ EFD on/after 3/16/2013 was filed
FTFD,FITF set to YES - deleted all benefit/priority claims(s) to applns filed before 3/16/2013
FTFE,FITF set to NO - claimed benefit to appln where FITF status was changed to NO
FTFF,FITF set to YES - 1.55/1.78 statement filed
FTFI,FITF set to NO - revise initial setting
FTFN,FITF set to NO - a claim w/ EFD on/after 3/16/2013 was NEVER filed
FTFP,FITF set to NO - petition for earlier filing date before 3/16/2013 granted
FTFR,1.55/1.78 statement retracted
FTFS,FITF set to YES - revise initial setting
FTFY,FITF  set to YES - claimed benefit to appln that is a FITF case
FTZ,FITF set to NO - 1.55/1.78 statement retracted
FWDX,Date Forwarded to Examiner
FWRO,Forwarded to Receiving Office
G011,Preexamination Location Change
G012,Preexamination Location Change
G013,Preexamination Location Change
G015,Preexamination Location Change
G016,Preexamination Location Change
G018,Preexamination Location Change
G01A,Preexamination Location Change
G021,Preexamination Location Change
G022,Preexamination Location Change
G023,Preexamination Location Change
G024,Preexamination Location Change
G025,Preexamination Location Change
G026,Preexamination Location Change
G027,Preexamination Location Change
G028,Preexamination Location Change
G029,Preexamination Location Change
G02C,Preexamination Location Change
G02D,Preexamination Location Change
G031,Preexamination Location Change
G033,Preexamination Location Change
G034,Preexamination Location Change
G035,Preexamination Location Change
G036,Preexamination Location Change
G037,Preexamination Location Change
G038,Preexamination Location Change
G039,Preexamination Location Change
G03A,Preexamination Location Change
G03B,Preexamination Location Change
G03C,Preexamination Location Change
G03D,Preexamination Location Change
G03P,Preexamination Location Change
G03V,Preexamination Location Change
G03W,Preexamination Location Change
G03Z,Preexamination Location Change
G050,Preexamination Location Change
G26A,Preexamination Location Change
G29M,Preexamination Location Change
G29P,Preexamination Location Change
GPRD,Glossary Request Dismissed/Denied
GPRG,Glossary Pilot Request Granted
GRCDK,Rocket Docket Request Granted
GWPR,Patent Case
HTTR,Hague Treaty Transmittal Review
I.D.,Declaration of Interference
I106,I106
I132,I132
I202,Notice under Rule 202
I231,Motion under Rule 231
IACN,Amendment Copying Claims - Not in Response to Examiner Suggesting Claims
IACS,Amendment Copying Claims - Response to a Letter Suggesting Claims
IBP,An Unknown International Bureau Paper identified during conversion of History from the A16
IBP.,IBP.
IBPM,IB Paper Match
ICPA,CPA filing - Incomplete
ICRF,Incomplete Response to a Letter to Comply with Sequence Rules
ID/A,Interference Decision on Priority - Adverse
ID/F,Interference Decision on Priority - Favorable
ID/M,Decision on Motion
ID/S,Interference Dissolved before Decision
IDS.,Information Disclosure Statement Filed
IDSC,Information Disclosure Statement considered
IDSPTA,PTA statement filed under PTA1.704(d) with IDS
IDTC,Interference dispatch to TC
IEXX,Initial Exam Team nn
IFEE,Issue Fee Payment Received
IFEEHA,Issue Fee Data Received from I.B. (Hague)
IM..,Initial Interference Memorandum
IMAR,Initial Memorandum under APJ review
IMMD,Cancer Immunotherapy Request Dismissed/Denied
IMMG,Cancer Immunotherapy Request Granted
IMMR,Cancer Immunotherapy Request
INC/,Notice of Incomplete Application - Filing Date Not Assigned
INCC,Miscellaneous Commissioner's Communication Re: Preexamination Requirements
INCD,Notice Mailed--Application Incomplete--Filing Date Assigned 
INCOR,Interview Request Correction
INCR,Notice of Incomplete Reply
INFODSCL,Information Disclosure Statements
INFR,Notice of Informal Application - OIPE
INFRAP,Petition to make special under the  Infrastructure Program
INHD,Declaration of Interference Hearing
INTNO,Interference Notification to Patentee Rule 607
IPPC,Incoming Request For Prosecution Pilot Conference
IPR.DOCK,Case  Docketed to Examiner
IPR2BPAI,Appealed case awaiting PTAB Decision - PALM status
IPRPUBS,Terminated; Released to Pubs. For Issuance of Reexam Certificate
IRCE,Improper Request for Continued Examination
IRFND,Request for Refund
IS/C,Letter Suggesting Claims for Interference
ISFN,Informal or Incomplete SIR - Final Notice
ISIR,Informal or Incomplete SIR
J490,Notice and Reasons for Appeal to CAFC - Review of PTAB Decision
J493,Appeal to CAFC
J494,Request for Extension of Time to File CAFC Appeal
J495,Extension of Time Granted to File CAFC Appeal
J496,Extension of Time Denied to File CAFC Appeal
J498,Notice of Civil Action to District Court - Review of PTAB Decision
J500,Notice of Civil Action to District Court
J502,Appeal to Court of Appeals
J504,Appeal to Supreme Court
J506,Court Processing Initiated
J507,Court Processing Terminated
J509,Answer to Appellant's Brief
J509O,Solicitor Answer to Appellant's Brief
J510,Motion for Summary Judgement
J510O,Solicitor Motion for Summary Judgement
J511,Appellant's Brief on Appeal
J512,Appellant's Complaint
J513,Appendix to Appellant's Brief
J514,Appellant's Reply Brief
J517,Appellee Motion in District Court
J517O,Solicitor - Appellee Motion in District Court
J519,Miscellaneous Plaintiff Filing
J520,Abandonment Vacated 
J521,Amicus Brief Received
JA01,Decision by CAFC - Affirmed
JA02,Decision by CAFC - Affirmed in Part
JA03,Decision by CAFC - Reversed
JA04,Decision by CAFC - Remanded
JA05,Decision by Court of Appeals - Dismissed - on Plaintiff's/Appellant's Motion
JA06,Decision by Court of Appeals - Dismissed - on Defendant's/Appellee's Motion
JA07,Decision by Court of Appeals - Dismissed - By Stipulation
JA08,Decision by CAFC - Dismissed
JA09,Decision by Court of Appeals - Dismissed - for Lack of Prosecution
JA10,Decision by Court of Appeals - Dismissed - Other
JA94,Request for Extension of Time to Appeal to CAFC
JA95,Extension of Time Granted to Appeal to CAFC
JD01,Decision in Civil Action - Affirmed
JD03,Decision in Civil Action - Reversed
JD04,Decision in Civil Action - Remanded
JD05,JD05
JD06,JD05
JD07,Decision in Civil Action - Dismissed - By Stipulation
JD08,Decision in Civil Action - Dismissed by Court
JD10,Decision in Civil Action - Dismissed - Other
JD94,Request for Extension of Time to Appeal to District Court
JD95,Extension of Time Granted to Appeal to District Court
JM02,JM02
JM03,Mandate Reversed
JM04,Mandate Remanded
JM06,Mandate Dismissed - on Defendant's/Appellee's Motion
JM09,Mandate Dismissed - for Lack of Prosecution
JM10,Mandate Dismissed - Other
JS01,Decision by the Supreme Court - Affirmed
JS12,Petition for Certiorari Denied
JS13,Petition for Certiorari Received
L.Q.,Letter of Inquiry Filed
L.SI,Suspension - Interference in Another Case
L.SP,Suspension - Examiner Initiated
L.XT,Letter regarding Extension of Time
L/RD,Letter Acknowledging That an Improper Paper Has Been Returned/Destroyed
L115,Security Classification Markings Recorded
L119,Application Found Licensable
L126,Auto Referred by PALM Pre Exam
L127,Intentionally Referred by OIPE or L&R
L128,Cleared by L&R (LARS)
L130,Receipt of all Acknowledgement Letters
L132,Secrecy Order Imposed
L133,Secrecy Order Renewed
L134,Secrecy Order Rescinded
L135,Security Classification Markings Removed
L136,Decision - Secrecy Order Petition Denied
L137,Decision - Secrecy Order Petition Granted
L138,Receipt of Secrecy Order Petition
L139,Secrecy Order Petition Mailed to Agency
L150,Request or Renewed Request for Regular License
L151,Request for Retroactive License
L152,Renewed Request for Retroactive License
L153,Grant Request for Retroactive License
L154,Deny Request for Retroactive License
L155,Grant Request for Regular License
L156,Deny Request for Regular License
L157,Suspend Request for License (Regular or Retroactive)
L158,Dismiss Request for Regular License
L159,Dismiss Request for Retroactive License
L160,Inquiry under 35 USC 185 - Re: Foreign Filing
L161,Response to Inquiry under 35 USC 185
L170,Referred for NASA Property Rights review by L&R LARS
L171,Referred for DOE Property Rights review by L&R LARS
L172,Request for a Suspension of Action to Supply a Statement (37 CFR 1.103(a))
L173,Grant Suspension of Action to Supply a Statement  (37 CFR 1.103(a))
L174,Deny Suspension of Action to Supply a Statement (37 CFR 1.103(a))
L175,Applicant response received
L176,Advisory Incomplete Statement mailed
L177,30-day DOE or NASA Property Rights Letter mailed
L178,Response to 30-day Letter
L179,Letter to Applicant - Re: Bar
L180,Agency Letter - Re: Bar
L181,90-Day Letter to NASA
L182,90-Day Letter to DOE
L183,Acknowledgment of Receipt of 90-Day Letter
L184,Government Interest Decision in Response to 90-Day Letter (Incl. Directive)
L185,No Government Interest - Patent to Issue to Applicant (No Letter to Applicant)
L186,Letter to Applicant - No government Interest / Patent to Issue
L187,Letter to Applicant - Re: Government Interest Claimed
L188,Letter to Applicant - Patent to Issue to Government
L189,Request for Hearing on Government Interest
L190,Memo to Board of Interferences - Re: Government Interest Interference
L191,Letter to Agency - Patent to Issue to Government
L192,Agency Letter - Re: Waiver of Government Interest Processing
L193,Agency Letter - Re: Government Interest (Not in Response to 90-Day Letter)
L194,Cleared by OIPE CSR
L196,Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated
L197,Receipt of Acknowledgment Letter
L198,Referred to Level 2 (LARS) by OIPE CSR
L200,Deferred
L272,Request Extension of Time to File Retroactive License
L273,Grant Extension of Time to File Retroactive License
L285,XXXXX
L372,Request for Extension of Time to Supply a Response to an Inquiry Letter under 35 USC 185
L373,Grant of an Extension of Time to Supply a Response to an Inquiry Letter under 35 USC 185
LBRC,LBRC
LBRV,LBRV
LCON,Letter Confirming Prior Applicant Response Filed
LET.,Miscellaneous Incoming Letter
LFFOUND,File Marked Found
LFLOST,File Marked Lost
LFNOREC,Determination - No Reconstruction of File to Occur
LFRCANL,Reconstruction Canceled
LFRCOMP,Reconstruction Completed
LFRECON,Reconstruction of File - Begin
LNTA,Allowance after Previous Allowance Count - L & R Processing
LOST,Case Reported Lost
